12 5 4
0 10 0 1
1 5 0 2
1 4 0 2
0 0 0 2
10 0 0 1
3 -1 0 2
5 -1 0 2
10 10 0 15
0 -10 0 1
10 -10 0 1
-10 -10 0 1
10 10 0 1
0 10 0 240
10 0 0 200
10 -2 0 52
-10 0 0 100
1 1 0 2
0 0 0
12 5 4
0 10 0 1
1 5 0 2
1 4 0 2
0 0 0 2
10 0 0 1
3 -1 0 2
5 -1 0 2
10 10 0 15
0 -10 0 1
10 -10 0 1
-10 -10 0 1
10 10 0 1
0 10 0 260
10 0 0 200
10 -2 0 52
-10 0 0 100
1 1 0 2
0 0 0
12 5 4
0 10 0 1
1 5 0 2
1 4 0 2
0 0 0 2
10 0 0 1
3 -1 0 2
5 -1 0 2
10 10 0 15
0 -10 0 1
10 -10 0 1
-10 -10 0 1
10 10 0 1
0 10 0 240
10 0 0 200
10 -2 0 52
-10 0 0 255
1 1 0 2
0 0 0
100 15 99
-8 -105 1 89
18 48 102 68
11 11 42 48
-17 -76 10 24
-11 10 27 3
-4 1 18 3
8 -3 21 19
17 43 104 77
21 33 80 82
-18 -83 -1 75
17 52 117 94
-8 -90 10 75
-29 8 62 12
10 71 42 36
36 6 -4 11
16 -5 4 6
16 26 71 3
17 23 62 8
19 27 70 30
7 -102 0 52
17 29 76 43
13 10 45 9
5 10 16 75
-34 16 74 20
15 -9 -11 8
-6 -108 -4 63
5 28 21 7
-16 -84 7 49
8 0 26 39
-20 26 39 22
2 96 43 50
16 -54 -26 21
22 41 95 18
9 -84 0 29
-36 25 80 28
13 -6 6 12
-18 20 35 36
11 4 31 30
-3 -30 8 54
5 -23 8 54
0 -1 15 3
-4 -35 8 6
-33 9 61 46
-2 -64 8 39
8 -19 1 6
-12 -58 2 20
18 -55 -29 26
-12 -75 -1 15
-3 5 22 13
-6 5 22 10
-16 -67 1 37
-14 -65 6 20
8 -34 -12 25
13 15 49 12
9 1 26 7
-3 -91 -1 9
9 -61 -24 30
19 50 108 28
9 1 27 16
17 34 80 78
6 -9 19 69
19 8 67 78
32 4 11 97
-33 -24 16 64
-9 -63 -60 60
-3 -41 36 19
-24 36 -32 23
-16 -2 -64 14
-18 -13 -6 95
9 24 19 62
-26 -70 -20 21
-27 19 35 68
26 19 -50 11
21 29 -39 5
32 -91 41 59
-39 -52 -14 44
-7 -6 66 42
50 -39 -67 43
6 -9 -13 86
-4 -20 -51 20
-32 -81 48 71
20 29 -81 15
-82 -19 24 10
51 -60 -16 9
9 -8 35 31
6 -10 26 87
-8 -22 91 31
17 -13 -10 96
30 2 26 17
-3 15 5 79
32 -39 -9 37
14 -13 -26 5
-39 -73 21 12
5 -5 -9 70
22 2 -69 71
-16 -23 -83 50
-7 2 48 44
-12 -23 -34 64
6 -5 -20 90
-6 -18 28 98
-32 15 67 11876
6 -10 7 14
-13 17 33 5028
26 -9 -33 1308
29 3 -1 4286
6 -10 8 1
8 83 41 15371
17 -4 5 604
-8 9 26 1702
18 39 92 30683
17 -57 -26 5444
15 -5 5 189
-6 -80 6 27947
-9 -97 4 31761
19 31 78 5781
5 -10 8
100 15 90
-16 54 -34 38
-13 40 -35 47
44 -25 7 41
17 35 121 75
53 18 102 58
-18 45 -36 24
13 13 27 3
-38 -46 -14 51
45 16 86 86
13 8 11 14
57 -62 9 41
-20 57 -28 65
13 8 11 19
15 6 34 19
49 16 94 68
56 -16 9 16
-63 -61 -19 16
32 -5 9 38
-17 54 -24 25
-66 -55 -30 78
13 12 22 66
-37 -28 -12 35
50 16 90 82
13 16 38 19
25 -1 7 6
-52 -50 -21 13
57 -23 9 53
-51 -74 -25 45
15 27 85 18
26 0 7 35
-6 -8 -1 71
14 21 55 19
8 15 1 28
-18 45 -34 45
56 -49 15 70
42 -15 10 37
16 34 114 40
14 27 81 17
14 22 62 19
13 11 15 5
-18 16 14 62
-5 -11 61 22
7 48 -8 57
-25 81 45 60
14 9 5 5
70 1 -9 66
-1 15 9 47
-51 -33 70 77
18 11 35 65
10 16 10 87
65 4 -67 68
-14 -1 -81 85
-50 17 40 75
26 6 26 35
12 7 -56 71
41 -54 35 31
33 -11 52 39
7 50 74 15
-77 28 -20 73
-50 -2 19 47
13 9 -9 52
48 43 40 88
20 15 20 12
30 23 18 32
61 53 62 79
-27 -67 47 37
69 29 48 72
16 11 -39 72
25 14 8 9
11 10 15 10
30 35 5 33
15 9 15 99
6 30 -18 18
14 37 46 5
42 57 22 94
-11 29 43 15
-27 43 5 76
38 21 31 5
28 39 -87 79
-6 81 41 72
100 -18 13 71
-8 -5 2 77
74 -21 -60 55
7 1 -23 16
-64 39 6 33
14 10 -30 87
17 -16 -47 96
17 6 21 31
26 -22 -39 12
-1 -38 -41 54
16 8 18 91
26 1 101 91
2 -5 42 5
4 -6 -15 38
18 -9 14 45
-12 -24 -22 97
77 3 32 94
75 0 -7 36
10 22 -86 45
5 -1 1 39
73 -35 6 29824
16 32 103 41941
12 7 2 13
14 25 76 23551
72 -49 11 36752
13 11 15 51
13 8 7 21
44 16 81 36276
22 -2 6 351
-21 58 -45 30094
23 0 7 836
-19 54 -32 14876
18 5 55 6962
-20 53 -39 14318
-55 -60 -22 33521
12 8 5
200 15 190
51 102 100 8
57 103 115 3
51 101 90 14
47 105 97 19
75 82 168 57
63 106 150 59
56 103 111 28
56 103 114 16
46 107 100 3
44 108 104 20
51 101 89 5
41 95 165 70
49 100 94 56
48 93 96 4
61 106 139 29
74 96 149 57
20 147 128 6
50 100 89 30
55 103 110 17
43 111 92 6
44 98 138 39
63 107 147 37
63 106 150 45
41 111 113 7
46 99 121 19
65 107 154 12
57 104 119 5
69 95 135 53
62 106 139 47
61 105 137 19
42 82 116 19
48 99 104 3
45 108 103 18
43 98 148 61
52 101 92 19
90 86 195 85
41 95 168 45
51 102 99 3
77 86 158 22
46 99 117 21
90 89 193 26
45 109 105 3
42 95 157 28
45 98 128 13
58 104 125 3
41 112 115 29
43 97 142 29
45 108 104 16
18 152 126 68
14 158 137 24
52 103 106 23
16 159 134 66
44 110 92 36
57 103 115 20
61 105 139 33
41 95 168 34
43 95 162 10
42 112 96 12
44 83 114 31
55 103 106 17
52 104 116 10
62 97 114 29
43 99 142 35
41 114 120 18
43 97 149 50
55 102 104 21
51 101 88 24
77 88 162 23
57 96 104 3
52 101 90 23
45 107 89 19
47 98 116 33
46 99 120 19
58 104 123 8
44 98 137 44
47 85 110 6
44 97 141 41
49 100 96 46
39 114 123 9
49 100 97 40
39 114 122 33
83 86 176 49
43 97 146 34
47 105 88 12
66 108 172 28
55 103 108 11
62 106 147 58
58 104 123 3
42 97 158 50
88 90 193 93
50 100 89 12
66 108 161 18
64 96 122 3
46 99 121 30
67 109 165 31
61 105 138 53
42 99 151 36
67 91 134 15
67 109 172 27
46 98 122 18
40 95 174 27
58 104 126 24
57 104 116 24
43 110 93 21
62 106 141 3
51 101 90 11
64 107 155 16
59 105 127 37
49 99 98 52
18 145 128 35
61 92 118 31
54 102 104 14
66 108 164 53
47 105 95 21
40 113 117 30
46 97 129 11
49 102 88 16
62 106 141 30
49 100 96 4
49 100 98 39
39 97 174 29
66 108 161 30
